genes	t	S	N	dNdS	dN	dS
XP_015747295.1_aten_0.1.m1.7525.m1	0.0838	255.8	722.2	0.0818	0.0071	0.0867
XP_015747296.1_aten_0.1.m1.7522.m1	0.1386	197.8	534.2	0.4764	0.0356	0.0747
XP_015747299.1_aten_0.1.m1.8889.m1	0.4473	85.4	271.6	0.2736	0.0912	0.3332
XP_015747300.1_aten_0.1.m1.34603.m1	0.0738	144.4	443.6	0.0244	0.0023	0.0932
XP_015747311.1_aten_0.1.m1.34602.m1	0.1382	298.6	901.4	0.2849	0.0284	0.0995
XP_015747316.1_aten_0.1.m1.17180.m1	0.1976	405.2	1616.8	0.5164	0.0555	0.1074
XP_015747331.1_aten_0.1.m1.13573.m1	0.4549	230.0	733.0	0.3030	0.0979	0.3230
XP_015747333.1_aten_0.1.m1.13572.m1	0.3471	256.1	802.9	0.3968	0.0846	0.2132
XP_015747341.1_aten_0.1.m1.10340.m1	0.1836	174.5	572.5	0.6375	0.0540	0.0848
XP_015747345.1_aten_0.1.m1.28649.m1	0.1595	274.8	853.2	0.2170	0.0283	0.1304
XP_015747375.1_aten_0.1.m1.18445.m1	0.1292	377.7	900.3	0.2361	0.0220	0.0933
XP_015747382.1_aten_0.1.m1.22960.m1	0.2177	100.0	437.0	0.3074	0.0511	0.1663
XP_015747411.1_aten_0.1.m1.23367.m1	0.2752	182.8	555.2	0.3845	0.0657	0.1708
XP_015747412.1_aten_0.1.m1.35972.m1	0.3402	294.5	950.5	0.4355	0.0868	0.1993
XP_015747414.1_aten_0.1.m1.35969.m1	0.1425	466.1	1444.9	0.2373	0.0266	0.1122
XP_015747415.1_aten_0.1.m1.23358.m1	0.1724	488.7	1401.3	0.3063	0.0362	0.1183
XP_015747417.1_aten_0.1.m1.23364.m1	0.0645	279.9	764.1	0.0813	0.0053	0.0656
XP_015747434.1_aten_0.1.m1.7800.m1	0.1288	91.6	289.4	0.0771	0.0111	0.1436
XP_015747458.1_aten_0.1.m1.2024.m1	0.2337	455.4	1290.6	0.5496	0.0642	0.1168
XP_015747461.1_aten_0.1.m1.2021.m1	0.2318	334.9	1009.1	0.4451	0.0590	0.1325
XP_015747472.1_aten_0.1.m1.7329.m1	0.4428	318.2	929.8	0.5042	0.1180	0.2340
XP_015747473.1_aten_0.1.m1.7321.m1	0.1300	244.7	598.3	0.4795	0.0329	0.0687
XP_015747475.1_aten_0.1.m1.7320.m1	0.4712	320.1	1086.9	0.4786	0.1259	0.2630
XP_015747478.1_aten_0.1.m1.7328.m1	0.1197	470.9	1455.1	0.3994	0.0292	0.0731
XP_015747507.1_aten_0.1.m1.13216.m1	0.4004	316.0	971.0	0.5043	0.1075	0.2132
XP_015747515.1_aten_0.1.m1.34583.m1	0.2897	135.0	285.0	0.4420	0.0687	0.1554
XP_015747518.1_aten_0.1.m1.25551.m1	0.3732	295.9	985.1	0.6441	0.1103	0.1713
XP_015747519.1_aten_0.1.m1.25558.m1	0.2369	348.3	1097.7	0.3288	0.0529	0.1610
XP_015747542.1_aten_0.1.m1.19876.m1	0.2457	127.0	413.0	0.2230	0.0450	0.2019
XP_015747548.1_aten_0.1.m1.479.m1	0.2317	597.4	1910.6	0.3452	0.0532	0.1541
XP_015747555.1_aten_0.1.m1.30068.m1	0.0603	505.0	1466.0	0.0743	0.0048	0.0645
XP_015747561.1_aten_0.1.m1.30065.m1	0.0795	230.6	570.4	0.3609	0.0176	0.0486
XP_015747564.1_aten_0.1.m1.14565.m1	0.2220	235.7	895.3	0.2642	0.0468	0.1772
XP_015747567.1_aten_0.1.m1.480.m1	0.1667	137.8	468.2	0.2773	0.0349	0.1258
XP_015747568.1_aten_0.1.m1.36760.m1	0.2871	213.4	701.6	0.4435	0.0740	0.1669
XP_015747569.1_aten_0.1.m1.36765.m1	0.2378	393.5	1253.5	0.3679	0.0562	0.1527
XP_015747571.1_aten_0.1.m1.36758.m1	0.1407	319.6	1000.4	0.3953	0.0342	0.0866
XP_015747579.1_aten_0.1.m1.474.m1	0.1480	296.4	909.6	0.1566	0.0212	0.1355
XP_015747584.1_aten_0.1.m1.7205.m1	0.2070	116.4	342.6	0.0808	0.0178	0.2198
XP_015747589.1_aten_0.1.m1.4899.m1	0.2324	142.5	391.5	0.6383	0.0673	0.1054
XP_015747591.1_aten_0.1.m1.4895.m1	0.2259	1135.5	3109.5	0.2714	0.0438	0.1615
XP_015747593.1_aten_0.1.m1.4901.m1	0.1059	164.4	459.6	0.2552	0.0200	0.0782
XP_015747603.1_aten_0.1.m1.5350.m1	0.3642	1008.3	2852.7	0.6326	0.1054	0.1666
XP_015747605.1_aten_0.1.m1.456.m1	0.2115	618.0	1914.0	0.3915	0.0511	0.1306
XP_015747630.1_aten_0.1.m1.8234.m1	0.2524	528.1	1838.9	0.3006	0.0554	0.1843
XP_015747636.1_aten_0.1.m1.8232.m1	0.2174	77.5	255.5	0.3357	0.0496	0.1478
XP_015747638.1_aten_0.1.m1.10741.m1	0.2194	287.1	888.9	0.3481	0.0502	0.1442
XP_015747641.1_aten_0.1.m1.10745.m1	0.1034	196.1	766.9	0.0685	0.0091	0.1335
XP_015747659.1_aten_0.1.m1.34233.m1	0.1513	925.1	2563.9	0.3245	0.0325	0.1001
XP_015747662.1_aten_0.1.m1.5754.m1	0.1405	1311.0	4719.0	0.3337	0.0327	0.0979
XP_015747675.1_aten_0.1.m1.5755.m1	0.1664	649.7	2020.3	0.4395	0.0423	0.0963
XP_015747683.1_aten_0.1.m1.27216.m1	0.0675	241.1	598.9	0.3743	0.0152	0.0406
XP_015747685.1_aten_0.1.m1.381.m1	0.2172	470.0	1501.0	0.5080	0.0588	0.1158
XP_015747687.1_aten_0.1.m1.379.m1	0.1576	588.2	1763.8	0.2752	0.0317	0.1151
XP_015747696.1_aten_0.1.m1.5749.m1	0.5564	282.8	890.2	0.2092	0.0970	0.4638
XP_015747712.1_aten_0.1.m1.5732.m1	0.1193	817.4	2353.6	0.2302	0.0214	0.0928
XP_015747717.1_aten_0.1.m1.22413.m1	0.1075	234.5	587.5	0.2786	0.0206	0.0740
XP_015747723.1_aten_0.1.m1.22419.m1	0.1585	117.1	341.9	0.7708	0.0491	0.0637
XP_015747724.1_aten_0.1.m1.5735.m1	0.3118	187.5	544.5	0.4164	0.0765	0.1837
XP_015747731.1_aten_0.1.m1.12712.m1	0.2733	193.3	649.7	0.4826	0.0731	0.1515
XP_015747760.1_aten_0.1.m1.29059.m1	0.2209	664.7	2077.3	0.2765	0.0450	0.1629
XP_015747762.1_aten_0.1.m1.29058.m1	0.3360	1084.9	3331.1	0.3992	0.0818	0.2048
XP_015747766.1_aten_0.1.m1.29060.m1	0.1033	277.6	805.4	0.1650	0.0150	0.0908
XP_015747767.1_aten_0.1.m1.29061.m1	0.1997	273.5	917.5	0.3057	0.0437	0.1431
XP_015747776.1_aten_0.1.m1.485.m1	0.1262	612.8	1829.2	0.2519	0.0241	0.0957
XP_015747782.1_aten_0.1.m1.20267.m1	0.2504	373.7	1444.3	0.2758	0.0542	0.1966
XP_015747786.1_aten_0.1.m1.23859.m1	0.2807	502.9	1396.1	0.5810	0.0786	0.1352
XP_015747787.1_aten_0.1.m1.20296.m1	0.6109	197.1	579.9	0.6140	0.1756	0.2860
XP_015747788.1_aten_0.1.m1.20275.m1	0.2055	139.6	451.4	0.3250	0.0459	0.1414
XP_015747793.1_aten_0.1.m1.23862.m1	0.2898	867.1	2621.9	0.3792	0.0687	0.1811
XP_015747799.1_aten_0.1.m1.16186.m1	0.1660	353.6	942.4	0.4896	0.0431	0.0880
XP_015747800.1_aten_0.1.m1.16180.m1	0.2022	356.2	1023.8	0.3701	0.0468	0.1265
XP_015747801.1_aten_0.1.m1.16175.m1	0.1806	167.8	453.2	0.7729	0.0558	0.0722
XP_015747804.1_aten_0.1.m1.16188.m1	0.1492	320.7	951.3	0.2634	0.0292	0.1107
XP_015747809.1_aten_0.1.m1.7545.m1	0.4203	583.6	1942.4	0.5089	0.1146	0.2251
XP_015747810.1_aten_0.1.m1.7536.m1	0.1360	411.9	1478.1	0.2831	0.0292	0.1032
XP_015747819.1_aten_0.1.m1.21829.m1	0.1302	156.8	434.2	0.4545	0.0329	0.0724
XP_015747824.1_aten_0.1.m1.36805.m1	0.1405	1070.5	3351.5	0.2850	0.0291	0.1022
XP_015747831.1_aten_0.1.m1.36801.m1	0.8074	71.3	222.7	0.6701	0.2404	0.3588
XP_015747841.1_aten_0.1.m1.14338.m1	0.1788	768.2	2033.8	0.3328	0.0385	0.1156
XP_015747846.1_aten_0.1.m1.27888.m1	0.1499	280.3	826.7	0.3903	0.0358	0.0917
XP_015747855.1_aten_0.1.m1.2546.m1	0.1880	93.5	347.5	0.1355	0.0266	0.1966
XP_015747857.1_aten_0.1.m1.2551.m1	0.3424	64.5	235.5	0.1737	0.0564	0.3249
XP_015747874.1_aten_0.1.m1.10680.m1	0.2452	274.5	637.5	0.7092	0.0728	0.1026
XP_015747887.1_aten_0.1.m1.21039.m1	0.5708	220.0	716.0	0.4521	0.1481	0.3276
XP_015747890.1_aten_0.1.m1.21036.m1	0.2048	90.8	374.2	0.1349	0.0303	0.2247
XP_015747904.1_aten_0.1.m1.181.m1	0.2473	562.7	1675.3	0.4744	0.0645	0.1359
XP_015747908.1_aten_0.1.m1.475.m1	0.1211	268.0	821.0	0.0156	0.0024	0.1565
XP_015747916.1_aten_0.1.m1.484.m1	0.1839	203.8	810.2	0.4287	0.0483	0.1128
XP_015747918.1_aten_0.1.m1.24089.m1	0.1388	413.5	1113.5	0.3248	0.0296	0.0912
XP_015747920.1_aten_0.1.m1.12563.m1	0.3279	192.7	644.3	0.4556	0.0857	0.1881
XP_015747921.1_aten_0.1.m1.12554.m1	0.2875	220.1	676.9	0.2274	0.0523	0.2298
XP_015747922.1_aten_0.1.m1.12565.m1	0.1220	271.6	931.4	0.2431	0.0239	0.0982
XP_015747927.1_aten_0.1.m1.481.m1	0.3139	161.4	693.6	0.3997	0.0815	0.2039
XP_015747928.1_aten_0.1.m1.12552.m1	0.1193	464.7	1209.3	0.1450	0.0151	0.1040
XP_015747929.1_aten_0.1.m1.12550.m1	0.1651	289.8	979.2	0.2118	0.0297	0.1405
XP_015747939.1_aten_0.1.m1.5553.m1	0.1851	63.1	185.9	0.1179	0.0213	0.1808
XP_015747940.1_aten_0.1.m1.5554.m1	0.4073	734.4	2136.6	0.6670	0.1204	0.1805
XP_015747941.1_aten_0.1.m1.5561.m1	50.0000	634.9	1924.1	0.0106	0.6928	
XP_015747953.1_aten_0.1.m1.17026.m1	0.1125	573.9	1730.1	0.1259	0.0137	0.1091
XP_015747954.1_aten_0.1.m1.5552.m1	0.2864	210.5	743.5	0.4098	0.0724	0.1767
XP_015747967.1_aten_0.1.m1.29627.m1	0.6935	516.3	1835.7	0.5096	0.1909	0.3745
XP_015747976.1_aten_0.1.m1.35855.m1	0.2483	236.8	702.2	1.7911	0.0931	0.0520
XP_015747982.1_aten_0.1.m1.463.m1	0.1112	613.2	1498.8	0.1991	0.0171	0.0859
XP_015747985.1_aten_0.1.m1.34749.m1	0.1788	412.1	1207.9	0.4970	0.0474	0.0953
XP_015748011.1_aten_0.1.m1.464.m1	0.0925	220.0	623.0	0.0010	0.0001	0.1178
XP_015748021.1_aten_0.1.m1.4167.m1	0.2886	288.6	881.4	0.6469	0.0848	0.1311
XP_015748044.1_aten_0.1.m1.452.m1	0.1231	755.5	2427.5	0.2449	0.0237	0.0967
XP_015748069.1_aten_0.1.m1.28340.m1	0.4545	663.1	2111.9	0.4391	0.1161	0.2643
XP_015748071.1_aten_0.1.m1.28342.m1	0.0858	273.1	824.9	0.0226	0.0024	0.1076
XP_015748073.1_aten_0.1.m1.28339.m1	0.1115	138.7	344.3	1.0176	0.0374	0.0367
XP_015748106.1_aten_0.1.m1.26177.m1	0.4699	103.2	262.8	0.5363	0.1259	0.2348
XP_015748111.1_aten_0.1.m1.28822.m1	0.1998	222.3	653.7	0.2403	0.0369	0.1537
XP_015748125.1_aten_0.1.m1.13917.m1	0.0881	457.0	1325.0	0.4269	0.0218	0.0512
XP_015748134.1_aten_0.1.m1.734.m1	0.3717	233.5	813.5	0.5323	0.1036	0.1946
XP_015748138.1_aten_0.1.m1.17055.m1	0.4259	166.5	589.5	0.4359	0.1105	0.2534
XP_015748149.1_aten_0.1.m1.27437.m1	0.2137	241.0	1019.0	0.3509	0.0526	0.1500
XP_015748151.1_aten_0.1.m1.5763.m1	0.0824	62.5	177.5	0.0631	0.0056	0.0894
XP_015748161.1_aten_0.1.m1.26503.m1	0.4281	161.9	444.1	0.5925	0.1206	0.2034
XP_015748169.1_aten_0.1.m1.5759.m1	0.1544	722.4	1959.6	0.4036	0.0368	0.0912
XP_015748175.1_aten_0.1.m1.5762.m1	0.1208	301.4	883.6	0.2612	0.0234	0.0897
XP_015748192.1_aten_0.1.m1.1924.m1	0.1204	271.4	832.6	0.0608	0.0084	0.1376
XP_015748194.1_aten_0.1.m1.1923.m1	0.0777	161.6	531.4	0.0601	0.0056	0.0927
XP_015748214.1_aten_0.1.m1.7277.m1	0.2472	158.0	469.0	0.2582	0.0478	0.1851
XP_015748224.1_aten_0.1.m1.31315.m1	0.1873	453.0	1668.0	0.3466	0.0445	0.1284
XP_015748228.1_aten_0.1.m1.17058.m1	0.1844	474.4	1499.6	0.3053	0.0397	0.1301
XP_015748232.1_aten_0.1.m1.27602.m1	0.4772	144.3	467.7	0.8231	0.1514	0.1839
XP_015748234.1_aten_0.1.m1.12800.m1	0.1781	311.1	801.9	0.1752	0.0256	0.1463
XP_015748238.1_aten_0.1.m1.5756.m1	0.0701	240.2	731.8	0.6941	0.0211	0.0304
XP_015748242.1_aten_0.1.m1.20690.m1	0.1284	692.2	2010.8	0.4292	0.0319	0.0744
XP_015748243.1_aten_0.1.m1.20688.m1	0.1266	326.4	864.6	0.4456	0.0315	0.0707
XP_015748247.1_aten_0.1.m1.5748.m1	0.1452	292.6	643.4	0.4756	0.0360	0.0757
XP_015748258.1_aten_0.1.m1.5753.m1	0.0758	124.8	325.2	0.0807	0.0061	0.0753
XP_015748260.1_aten_0.1.m1.25387.m1	7.6918	55.4	208.6	0.0317	0.3460	
XP_015748261.1_aten_0.1.m1.16680.m1	0.1824	337.7	931.3	0.3833	0.0426	0.1111
XP_015748284.1_aten_0.1.m1.5744.m1	0.2211	235.3	655.7	0.2922	0.0449	0.1538
XP_015748313.1_aten_0.1.m1.5740.m1	0.2311	102.8	398.2	0.3930	0.0585	0.1488
XP_015748314.1_aten_0.1.m1.291.m1	0.7483	124.5	313.5	0.3060	0.1517	0.4956
XP_015748320.1_aten_0.1.m1.6818.m1	0.1507	592.8	1390.2	0.1398	0.0177	0.1266
XP_015748321.1_aten_0.1.m1.6828.m1	0.1829	309.0	852.0	0.3785	0.0424	0.1121
XP_015748322.1_aten_0.1.m1.6819.m1	0.3022	318.9	962.1	0.6204	0.0874	0.1409
XP_015748335.1_aten_0.1.m1.5746.m1	0.1298	339.8	944.2	0.3548	0.0292	0.0823
XP_015748363.1_aten_0.1.m1.14016.m1	0.1032	477.5	1541.5	0.1372	0.0138	0.1008
XP_015748365.1_aten_0.1.m1.14027.m1	0.5868	129.1	464.9	0.3855	0.1453	0.3769
XP_015748369.1_aten_0.1.m1.14033.m1	0.1468	166.3	499.7	0.2928	0.0305	0.1043
XP_015748372.1_aten_0.1.m1.14025.m1	0.1625	523.1	1498.9	0.2281	0.0289	0.1266
XP_015748399.1_aten_0.1.m1.28578.m1	50.0000	73.7	271.3	0.0071	0.5362	
XP_015748404.1_aten_0.1.m1.5725.m1	0.1388	334.0	1049.0	0.2864	0.0289	0.1009
XP_015748420.1_aten_0.1.m1.5724.m1	0.3858	187.7	691.3	0.3349	0.0903	0.2696
XP_015748431.1_aten_0.1.m1.5727.m1	0.1002	640.4	1672.6	0.1454	0.0127	0.0874
XP_015748438.1_aten_0.1.m1.10321.m1	0.0574	80.3	315.7	0.0910	0.0063	0.0695
XP_015748439.1_aten_0.1.m1.17073.m1	0.1210	400.7	1102.3	0.2292	0.0213	0.0928
XP_015748462.1_aten_0.1.m1.9804.m1	0.1518	175.9	529.1	0.3957	0.0366	0.0926
XP_015748473.1_aten_0.1.m1.23372.m1	0.3838	163.0	566.0	0.4861	0.1035	0.2129
XP_015748477.1_aten_0.1.m1.24683.m1	0.2588	169.5	649.5	0.3643	0.0634	0.1740
XP_015748484.1_aten_0.1.m1.12499.m1	0.3015	344.1	1233.9	0.4866	0.0817	0.1679
XP_015748515.1_aten_0.1.m1.18935.m1	0.1327	236.2	693.8	0.3145	0.0285	0.0906
XP_015748520.1_aten_0.1.m1.79.m1	0.2657	120.8	359.2	0.5666	0.0743	0.1311
XP_015748523.1_aten_0.1.m1.31311.m1	0.4888	117.1	380.9	0.4423	0.1257	0.2841
XP_015748531.1_aten_0.1.m1.7862.m1	0.4289	319.0	986.0	0.4252	0.1075	0.2527
XP_015748541.1_aten_0.1.m1.27932.m1	0.4502	859.5	3316.5	0.3764	0.1119	0.2973
XP_015748587.1_aten_0.1.m1.5651.m1	0.4346	146.8	531.2	0.5519	0.1232	0.2232
XP_015748588.1_aten_0.1.m1.18608.m1	0.2914	198.2	629.8	0.6413	0.0857	0.1336
XP_015748589.1_aten_0.1.m1.13823.m1	0.2615	317.1	1023.9	0.4647	0.0685	0.1474
XP_015748600.1_aten_0.1.m1.7647.m1	0.3281	494.3	1710.7	1.2116	0.1138	0.0939
XP_015748628.1_aten_0.1.m1.3254.m1	0.2653	107.7	339.3	0.3349	0.0598	0.1787
XP_015748629.1_aten_0.1.m1.3249.m1	0.1748	337.8	1000.2	0.4276	0.0435	0.1018
XP_015748630.1_aten_0.1.m1.3248.m1	0.1687	321.0	924.0	0.9340	0.0552	0.0591
XP_015748632.1_aten_0.1.m1.23863.m1	0.3586	239.0	781.0	0.4946	0.0964	0.1950
XP_015748637.1_aten_0.1.m1.3253.m1	0.2582	195.4	794.6	0.4863	0.0712	0.1464
XP_015748640.1_aten_0.1.m1.3020.m1	0.0866	186.1	452.9	0.0816	0.0067	0.0828
XP_015748642.1_aten_0.1.m1.3018.m1	0.1916	1071.4	3311.6	0.4635	0.0498	0.1074
XP_015748644.1_aten_0.1.m1.3017.m1	0.7984	72.5	251.5	0.3949	0.1981	0.5018
XP_015748655.1_aten_0.1.m1.22827.m1	0.2095	1211.3	3795.7	0.3332	0.0471	0.1412
XP_015748657.1_aten_0.1.m1.22824.m1	0.0651	69.2	245.8	0.0010	0.0001	0.0984
XP_015748665.1_aten_0.1.m1.15543.m1	0.8690	284.6	918.4	0.4091	0.2159	0.5277
XP_015748682.1_aten_0.1.m1.36387.m1	0.3286	236.8	801.2	0.4188	0.0832	0.1987
XP_015748691.1_aten_0.1.m1.8741.m1	0.4936	195.7	614.3	0.4776	0.1302	0.2725
XP_015748695.1_aten_0.1.m1.25766.m1	0.1774	873.7	2969.3	0.4441	0.0460	0.1037
XP_015748698.1_aten_0.1.m1.25752.m1	0.1436	203.7	606.3	0.3413	0.0322	0.0944
XP_015748699.1_aten_0.1.m1.25764.m1	0.0807	127.2	463.8	0.1691	0.0131	0.0772
XP_015748700.1_aten_0.1.m1.25755.m1	0.0859	308.8	858.2	0.1342	0.0106	0.0788
XP_015748703.1_aten_0.1.m1.25846.m1	0.0877	1076.2	3162.8	0.1972	0.0144	0.0729
XP_015748717.1_aten_0.1.m1.4907.m1	0.3781	873.0	2808.0	0.2852	0.0791	0.2772
XP_015748727.1_aten_0.1.m1.5383.m1	0.3372	246.1	755.9	0.9715	0.1116	0.1149
XP_015748731.1_aten_0.1.m1.25286.m1	0.2102	256.4	835.6	0.7351	0.0646	0.0879
XP_015748734.1_aten_0.1.m1.29682.m1	0.1708	366.7	1196.3	0.2371	0.0324	0.1368
XP_015748736.1_aten_0.1.m1.29683.m1	0.2124	376.7	1153.3	0.2461	0.0404	0.1640
XP_015748737.1_aten_0.1.m1.29679.m1	0.2621	634.2	1849.8	0.2728	0.0520	0.1906
XP_015748738.1_aten_0.1.m1.29685.m1	0.1491	341.8	816.2	0.5810	0.0410	0.0705
XP_015748740.1_aten_0.1.m1.22417.m1	0.1781	276.2	866.8	0.4640	0.0464	0.1000
XP_015748741.1_aten_0.1.m1.22418.m1	0.1262	477.4	1217.6	0.2429	0.0224	0.0922
XP_015748748.1_aten_0.1.m1.8535.m1	0.2788	546.2	2168.8	0.2761	0.0608	0.2204
XP_015748749.1_aten_0.1.m1.8532.m1	0.2367	537.0	1632.0	0.4494	0.0606	0.1347
XP_015748762.1_aten_0.1.m1.25283.m1	0.2002	265.9	973.1	0.2681	0.0421	0.1570
XP_015748766.1_aten_0.1.m1.34693.m1	0.4732	330.9	1052.1	0.5524	0.1321	0.2392
XP_015748767.1_aten_0.1.m1.34699.m1	0.1105	233.9	732.1	0.1261	0.0138	0.1091
XP_015748768.1_aten_0.1.m1.34698.m1	0.0839	701.7	1899.3	0.3409	0.0184	0.0539
XP_015748769.1_aten_0.1.m1.34694.m1	0.0896	188.8	537.2	0.0010	0.0001	0.1145
XP_015748772.1_aten_0.1.m1.25280.m1	0.1589	117.3	362.7	0.4004	0.0388	0.0969
XP_015748779.1_aten_0.1.m1.18559.m1	0.2024	137.4	444.6	0.1639	0.0306	0.1868
XP_015748780.1_aten_0.1.m1.25277.m1	0.1025	107.4	336.6	0.1156	0.0120	0.1037
XP_015748783.1_aten_0.1.m1.33160.m1	0.2614	108.6	311.4	0.3107	0.0554	0.1782
XP_015748785.1_aten_0.1.m1.33162.m1	0.1303	415.6	907.4	0.2217	0.0207	0.0932
XP_015748792.1_aten_0.1.m1.17744.m1	0.1969	190.3	553.7	0.6576	0.0579	0.0881
XP_015748795.1_aten_0.1.m1.1642.m1	0.2655	900.0	2448.0	0.3337	0.0576	0.1726
XP_015748807.1_aten_0.1.m1.25264.m1	0.1564	325.1	829.9	0.2256	0.0265	0.1175
XP_015748808.1_aten_0.1.m1.24092.m1	0.1657	571.4	1537.6	0.7185	0.0499	0.0695
XP_015748818.1_aten_0.1.m1.25267.m1	0.7834	181.3	574.7	0.6747	0.2341	0.3469
XP_015748823.1_aten_0.1.m1.24641.m1	0.1875	105.6	371.4	0.3744	0.0456	0.1219
XP_015748837.1_aten_0.1.m1.21129.m1	0.1649	251.9	714.1	0.1154	0.0183	0.1589
XP_015748850.1_aten_0.1.m1.1501.m1	0.2094	195.8	557.2	1.8468	0.0792	0.0429
XP_015748851.1_aten_0.1.m1.1507.m1	0.1352	1135.7	2863.3	0.1400	0.0164	0.1173
XP_015748864.1_aten_0.1.m1.25260.m1	0.7068	171.4	593.6	0.3183	0.1592	0.5002
XP_015748894.1_aten_0.1.m1.28922.m1	0.2351	268.9	973.1	0.2509	0.0476	0.1897
XP_015748896.1_aten_0.1.m1.13941.m1	0.1336	227.0	628.0	0.0429	0.0064	0.1500
XP_015748897.1_aten_0.1.m1.13944.m1	0.0790	778.7	1987.3	0.4251	0.0191	0.0449
XP_015748898.1_aten_0.1.m1.13947.m1	0.2814	607.7	2014.3	0.3163	0.0625	0.1976
XP_015748899.1_aten_0.1.m1.13946.m1	0.1783	231.5	764.5	0.2556	0.0354	0.1387
XP_015748900.1_aten_0.1.m1.13940.m1	0.1794	134.0	439.0	0.2826	0.0375	0.1328
XP_015748923.1_aten_0.1.m1.15329.m1	0.3871	1667.4	4785.6	0.4197	0.0951	0.2265
XP_015748924.1_aten_0.1.m1.15330.m1	0.3669	301.6	904.4	0.4479	0.0935	0.2087
XP_015748929.1_aten_0.1.m1.25237.m1	0.1389	286.7	766.3	0.2513	0.0256	0.1017
XP_015748933.1_aten_0.1.m1.448.m1	0.6016	450.5	1424.5	0.6199	0.1748	0.2819
XP_015748935.1_aten_0.1.m1.450.m1	0.1239	764.6	2088.4	0.1523	0.0166	0.1088
XP_015748957.1_aten_0.1.m1.25238.m1	0.5397	113.3	372.7	0.5342	0.1495	0.2799
XP_015748975.1_aten_0.1.m1.25231.m1	0.1686	263.8	744.2	0.4302	0.0417	0.0970
XP_015748987.1_aten_0.1.m1.25230.m1	0.6473	319.3	1015.7	0.6094	0.1871	0.3070
XP_015749003.1_aten_0.1.m1.25228.m1	0.1327	272.0	799.0	0.2468	0.0249	0.1010
XP_015749015.1_aten_0.1.m1.25222.m1	0.2008	239.1	627.9	0.7078	0.0601	0.0849
XP_015749018.1_aten_0.1.m1.16511.m1	0.1224	261.2	824.8	0.3636	0.0287	0.0789
XP_015749022.1_aten_0.1.m1.24191.m1	0.2597	251.0	817.0	0.5068	0.0705	0.1390
XP_015749023.1_aten_0.1.m1.24185.m1	0.2498	631.4	1834.6	0.3843	0.0590	0.1536
XP_015749049.1_aten_0.1.m1.5072.m1	0.2447	367.2	889.8	0.5061	0.0635	0.1254
XP_015749055.1_aten_0.1.m1.25216.m1	0.2505	1058.4	2775.6	1.1192	0.0860	0.0769
XP_015749066.1_aten_0.1.m1.3894.m1	0.1841	812.1	2310.9	0.2546	0.0349	0.1369
XP_015749067.1_aten_0.1.m1.3897.m1	0.1796	152.5	531.5	0.3370	0.0416	0.1235
XP_015749068.1_aten_0.1.m1.25220.m1	0.3245	569.1	1734.9	0.3632	0.0755	0.2078
XP_015749073.1_aten_0.1.m1.3898.m1	0.1498	264.6	701.4	0.2826	0.0295	0.1042
XP_015749074.1_aten_0.1.m1.3893.m1	0.1152	102.4	338.6	0.3510	0.0269	0.0765
XP_015749092.1_aten_0.1.m1.27533.m1	0.2913	183.6	782.4	0.3325	0.0703	0.2114
